"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.168725042E0,-1.078764510E-1,4.546479142E-1,-1.744867623E-1
3.178715042E0,3.108185421E-1,4.272089776E-1,-3.771454096E-3
3.188705042E0,5.071358109E-1,3.748293275E-1,-1.169384658E-2
3.198695042E0,5.175217815E-1,2.637310606E-1,-2.373449153E-1
3.208684042E0,4.453733531E-1,1.327040210E-1,-3.909740746E-1
3.218674042E0,3.610500714E-1,1.866396153E-1,-2.194565284E-1
3.228664042E0,5.121311603E-1,3.969931984E-1,1.002803332E-1
3.238653042E0,5.222824749E-1,6.662802833E-1,2.616839504E-1
3.248643042E0,4.006977750E-1,7.768210182E-1,3.957880872E-1
3.258633042E0,3.188059849E-1,6.463652515E-1,3.348337877E-1
3.268622042E0,4.767064256E-1,3.236954266E-1,2.317678410E-1
3.278612042E0,7.778491049E-1,2.387625727E-1,2.487399691E-1
3.288602042E0,7.527456924E-1,5.744977087E-1,3.993677527E-1
3.298592042E0,5.025323711E-1,7.074373725E-1,6.879828089E-1
3.308581042E0,7.082666539E-1,6.361218068E-1,6.496876395E-1
3.318571042E0,1.021216433E0,4.247312200E-1,4.557021672E-1
3.328561042E0,1.355159032E0,2.421241370E-1,3.926364380E-1
3.338550042E0,1.396017621E0,3.748202643E-1,5.223060465E-1
3.348540042E0,9.149741326E-1,6.310423306E-1,7.974233902E-1
3.358530042E0,6.775909911E-1,7.714675999E-1,1.134853342E0
3.368519042E0,3.842086268E-1,8.024142811E-1,1.320384910E0
3.378509042E0,1.136255796E-1,7.504167464E-1,1.403969688E0
3.388499042E0,7.846232504E-2,4.533717594E-1,1.287903042E0
3.398489042E0,-5.777034447E-2,7.487154990E-2,1.102176177E0
3.408478042E0,-4.963657513E-2,-3.539959905E-1,1.168799352E0
3.418468042E0,6.340559855E-2,-7.534763020E-1,1.315754499E0
3.428458042E0,2.368787460E-1,-9.581718269E-1,1.484978768E0
3.438447292E0,2.606188801E-1,-1.089648225E0,1.725146134E0
3.448437292E0,2.174024016E-2,-1.206864434E0,1.946360920E0
3.458427292E0,-1.246717009E-1,-1.520274608E0,2.186386199E0
3.468416292E0,-2.074717829E-1,-1.901498158E0,2.148200957E0
3.478406292E0,-3.573596013E-1,-1.902578431E0,1.914174337E0
3.488396292E0,-7.338673720E-1,-1.792793449E0,1.593374451E0
3.498386292E0,-7.893179798E-1,-1.826573398E0,1.384394964E0
3.508375292E0,-8.214089611E-1,-1.536726334E0,1.042521129E0
3.518365292E0,-7.981121922E-1,-1.200552072E0,9.978478163E-1
3.528355292E0,-2.638725632E-1,-1.115136530E0,1.200890041E0
3.538344292E0,1.191557300E-1,-8.054826075E-1,1.275437948E0
3.548334292E0,2.443922719E-1,-3.823789600E-1,1.387591637E0
3.558324292E0,4.032008949E-1,-2.971379578E-1,1.587138396E0
3.568314292E0,5.080838639E-1,-4.383303818E-1,1.444086850E0
3.578303292E0,5.353707728E-1,-7.125063238E-1,1.084116467E0
3.588293292E0,4.114565787E-1,-9.140136543E-1,8.344514680E-1
3.598283292E0,7.536680907E-2,-9.137128150E-1,8.446741551E-1
3.608272292E0,-2.541778797E-1,-8.989091268E-1,9.415841532E-1
3.618262292E0,-3.696165347E-1,-9.371057707E-1,1.067104577E0
3.628252292E0,-9.236466497E-2,-8.577935529E-1,1.261373640E0
3.638241292E0,2.959807938E-1,-7.879909542E-1,1.233241516E0
3.648231292E0,2.441841111E-1,-5.905372059E-1,1.103307028E0
3.658221292E0,-1.544103473E-1,-3.187285092E-1,1.031148879E0
3.668211292E0,-4.746918771E-1,-1.223857319E-1,1.033159152E0
3.678200292E0,-4.751830432E-1,-1.031407911E-1,9.944347966E-1
3.688190292E0,-5.039463741E-1,-6.562037766E-2,7.294185179E-1
3.698180292E0,-4.138524753E-1,-2.145635784E-2,4.938523257E-1
3.708169292E0,-2.114856040E-1,-2.035561949E-2,4.414951873E-1
3.718159292E0,1.294836670E-2,-1.350259504E-1,2.617219573E-1
3.728149292E0,2.146053860E-1,-1.089619866E-1,1.707714415E-1
3.738138292E0,2.607571667E-1,1.795036733E-2,1.156573409E-1
3.748128292E0,2.626072258E-2,1.327610314E-1,-1.024087197E-1
3.758118292E0,-1.926283336E-1,8.247088373E-2,-3.820412832E-1
3.768108292E0,-5.678830460E-1,-3.431730866E-3,-6.308549273E-1
3.778097292E0,-8.071554959E-1,1.101577422E-1,-8.439268810E-1
3.788087292E0,-6.087837347E-1,1.998636782E-2,-1.022796716E0
3.798077292E0,-1.759693238E-1,-1.947301152E-1,-1.078403737E0
3.808066292E0,1.107024103E-1,-2.041157734E-1,-1.052389475E0
